states,cities,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
 Alabama,Mobile,248431,20.13,58.16,177.11,485.85,"1,216.84","3,730.21",506.78,740.25,"5,453.83"
 Alaska,Anchorage,296188,9.12,132.01,262.67,799.49,748.17,"3,619.66","1,047.98","1,203.29","5,415.82"
 Arizona,Chandler,249355,2.01,52.13,56.95,148.38,314.41,"1,866.01",149.18,259.47,"2,329.61"
 Arizona,Gilbert,242090,2.07,16.11,21.07,46.26,192.49,"1,137.59",55.76,85.51,"1,385.85"
 Arizona,Glendale,249273,4.81,38.91,192.96,251.53,637.45,"3,426.36",466.56,488.22,"4,530.37"
 Arizona,Mesa,492268,4.67,51.19,92.23,267.74,381.50,"1,610.91",179.58,415.83,"2,171.99"
 Arizona,Phoenix,1608139,9.55,69.46,200.28,481.64,778.57,"2,426.69",465.46,760.93,"3,670.71"
 Arizona,Scottsdale,251840,1.99,40.9,39.71,74.65,348.63,"1,725.70",97.68,157.24,"2,172.01"
 Arizona,Tucson,1532323,8.64,93.55,268.82,430.75,831.07,"3,968.46",452.17,801.77,"5,251.70"
 California,Anaheim,353400,2.83,32.54,135.82,183.36,382.29,"1,809.00",439.16,354.56,"2,630.45"
 California,Bakersfield,381154,10.76,24.14,197.56,246.88,962.08,"2,377.78",728.58,479.33,"4,068.43"
 California,Chula Vista,271109,0.74,22.87,112.13,162.30,236.07,915.50,280.70,298.04,"1,432.27"
 California,Fremont,236368,0.85,28.77,79.11,73.61,284.73,"1,499.78",365.95,182.34,"2,150.46"
 California,Fresno,526371,10.64,33.06,182.0,339.30,693.24,"2,618.31",529.85,565.00,"3,841.40"
 California,Irvine,276115,0.72,16.66,19.92,23.90,227.08,"1,019.14",70.26,61.21,"1,316.48"
 California,Long Beach,471397,4.67,43.06,262.41,347.69,586.55,"1,507.01",578.92,657.83,"2,672.48"
 California,Los Angeles,3898747,7.01,61.27,269.87,423.17,415.96,"1,640.99",478.97,761.31,"2,535.92"
 California,Oakland,424915,16.24,94.14,629.77,559.17,617.06,"4,072.58","1,293.20","1,299.32","5,982.84"
 California,Riverside,328023,3.66,50.61,165.84,288.70,510.03,"2,020.89",527.40,508.81,"3,058.32"
