City,Median Income,State
Auburn,32859,Alabama
Birmingham,91740,Alabama
Dothan,30920,Alabama
Hoover,38178,Alabama
Huntsville,99557,Alabama
Mobile,79383,Alabama
Montgomery,82966,Alabama
Tuscaloosa,42870,Alabama
Anchorage,109125,Alaska
Avondale,32208,Arizona
Buckeye,32161,Arizona
Casas Adobes,32025,Arizona
Chandler,105611,Arizona
Flagstaff,30080,Arizona
Gilbert,94016,Arizona
Glendale,89664,Arizona
Goodyear,38956,Arizona
Maricopa,23278,Arizona
Mesa,203676,Arizona
Peoria,74637,Arizona
Phoenix,621234,Arizona
Queen Creek,24749,Arizona
San Tan Valley,36966,Arizona
Scottsdale,118561,Arizona
Surprise,59045,Arizona
Tempe,76512,Arizona
Tucson,233257,Arizona
Yuma,41742,Arizona
Conway,28356,Arkansas
Fayetteville,42333,Arkansas
Fort Smith,36439,Arkansas
Jonesboro,32817,Arkansas
Little Rock,89358,Arkansas
Rogers,27613,Arkansas
Springdale,29550,Arkansas
Alameda,30642,California
Alhambra,30242,California
Anaheim,109885,California
Antioch,37645,California
Apple Valley,26684,California
Arden-Arcade,37548,California
Bakersfield,130761,California
Baldwin Park,18805,California
Bellflower,23352,California
Berkeley,49088,California
Brentwood,22600,California
Buena Park,23777,California
Burbank,43209,California
Camarillo,26253,California
Carlsbad,43752,California
Carmichael,30982,California
Carson,27512,California
Castro Valley,23198,California
Chico,44270,California
Chino,26314,California
Chino Hills,24476,California
Chula Vista,88029,California
Citrus Heights,34364,California
Clovis,44194,California
Compton,23447,California
Concord,47248,California
Corona,51110,California
Costa Mesa,42336,California
Daly City,33137,California
Davis,25542,California
Downey,33472,California
Dublin,N,California
East Los Angeles,29208,California
Eastvale,18433,California
El Cajon,32145,California
Elk Grove,53383,California
El Monte,29314,California
Escondido,47740,California
Fairfield,38515,California
Folsom,32761,California
Fontana,59598,California
Fremont,81639,California
Fresno,180634,California
Fullerton,49425,California
Garden Grove,50343,California
Glendale,76375,California
Hawthorne,32299,California
Hayward,49029,California
Hemet,33674,California
Hesperia,29608,California
Huntington Beach,75314,California
Indio,31048,California
Inglewood,37918,California
Irvine,111471,California
Jurupa Valley,30398,California
Lake Elsinore,20252,California
Lake Forest,29721,California
Lakewood,25033,California
Lancaster,52431,California
Livermore,29208,California
Lodi,23274,California
Long Beach,176407,California
Los Angeles,1460167,California
Lynwood,16131,California
Madera,19945,California
Manteca,30532,California
Menifee,39358,California
Merced,27221,California
Milpitas,25653,California
Mission Viejo,34477,California
Modesto,76577,California
Moreno Valley,56294,California
Mountain View,35859,California
Murrieta,36867,California
Napa,30838,California
Newport Beach,36300,California
Norwalk,27925,California
Oakland,182014,California
Oceanside,63683,California
Ontario,54719,California
Orange,46584,California
Oxnard,55777,California
Palmdale,47380,California
Palo Alto,27768,California
Pasadena,57025,California
Perris,20943,California
Pittsburg,24968,California
Pleasanton,26569,California
Pomona,42390,California
Rancho Cordova,28916,California
Rancho Cucamonga,58173,California
Redding,37380,California
Redlands,27161,California
Redondo Beach,29220,California
Redwood City,29831,California
Rialto,26568,California
Richmond,45299,California
Riverside,96201,California
Rocklin,27308,California
Roseville,61142,California
Sacramento,202421,California
Salinas,43233,California
San Bernardino,64370,California
San Buenaventura (Ventura),43032,California
San Diego,537532,California
San Francisco,372027,California
San Jose,331229,California
San Leandro,31539,California
San Marcos,31360,California
San Mateo,39795,California
San Ramon,30872,California
Santa Ana,83498,California
Santa Barbara,38553,California
Santa Clara,51014,California
Santa Clarita,76446,California
Santa Maria,28422,California
Santa Monica,48189,California
Santa Rosa,70361,California
Simi Valley,44629,California
South Gate,27422,California
Stockton,101924,California
Sunnyvale,58756,California
Temecula,35801,California
Thousand Oaks,46158,California
Torrance,55836,California
Tracy,27880,California
Tulare,20967,California
Turlock,25660,California
Tustin,26025,California
Union City,21920,California
Upland,28043,California
Vacaville,35647,California
Vallejo,44936,California
Victorville,38786,California
Visalia,48446,California
Vista,31866,California
Walnut Creek,32550,California
West Covina,31349,California
Westminster,28524,California
Whittier,27466,California
Yorba Linda,22960,California
Yuba City,23521,California
Arvada,49987,Colorado
Aurora,149344,Colorado
Boulder,44722,Colorado
Broomfield,33563,Colorado
Castle Rock,29100,Colorado
Centennial,41393,Colorado
Colorado Springs,208035,Colorado
Commerce City,21705,Colorado
Denver,342996,Colorado
Fort Collins,72318,Colorado
Grand Junction,31087,Colorado
Greeley,42813,Colorado
Highlands Ranch,39866,Colorado
Lakewood,71477,Colorado
Longmont,42201,Colorado
Loveland,35134,Colorado
Pueblo,46921,Colorado
Thornton,52600,Colorado
Westminster,51565,Colorado
Bridgeport,54695,Connecticut
Danbury,32993,Connecticut
Hartford,49229,Connecticut
New Britain,30047,Connecticut
New Haven,57392,Connecticut
Norwalk,37777,Connecticut
Stamford,55324,Connecticut
Waterbury,45898,Connecticut
Wilmington,32131,Delaware
Alafaya,34029,Florida
Boca Raton,41274,Florida
Boynton Beach,31874,Florida
Brandon,44579,Florida
Cape Coral,83021,Florida
Clearwater,52536,Florida
Coral Springs,46223,Florida
Davie,38969,Florida
Daytona Beach,33906,Florida
Deerfield Beach,34846,Florida
Delray Beach,30118,Florida
Deltona,33155,Florida
Doral,26222,Florida
Fort Lauderdale,81232,Florida
Fort Myers,39447,Florida
Four Corners,27549,Florida
Gainesville,65576,Florida
Hialeah,78792,Florida
Hollywood,61197,Florida
Homestead,26901,Florida
Horizon West,24678,Florida
Jacksonville,409221,Florida
Kendall,28984,Florida
Kissimmee,28697,Florida
Lakeland,51663,Florida
Largo,37626,Florida
Lauderhill,27832,Florida
Lehigh Acres,40585,Florida
Melbourne,36223,Florida
Miami,201102,Florida
Miami Beach,37894,Florida
Miami Gardens,34688,Florida
Miramar,44827,Florida
North Port,35320,Florida
Ocala,29755,Florida
Orlando,141669,Florida
Palm Bay,50448,Florida
Palm Coast,43003,Florida
Palm Harbor,27659,Florida
Pembroke Pines,63065,Florida
Pine Hills,24671,Florida
Plantation,36927,Florida
Poinciana,26064,Florida
Pompano Beach,51440,Florida
Port Charlotte,26105,Florida
Port Orange,27070,Florida
Port St. Lucie,90069,Florida
Riverview,44076,Florida
St. Cloud,23749,Florida
St. Petersburg,123605,Florida
Sanford,26511,Florida
Spring Hill,47821,Florida
Sunrise,34455,Florida
Tallahassee,87824,Florida
Tamarac,32913,Florida
Tampa,169317,Florida
The Villages,45000,Florida
Town 'n' Country,31323,Florida
Wesley Chapel,26661,Florida
Weston,22243,Florida
West Palm Beach,50890,Florida
Albany,28379,Georgia
Alpharetta,26224,Georgia
Athens-Clarke County unified government (balance),54856,Georgia
Atlanta,233047,Georgia
Augusta-Richmond County consolidated government (balance),76232,Georgia
Columbus,82007,Georgia
Johns Creek,28800,Georgia
Macon-Bibb County,60919,Georgia
Roswell,35275,Georgia
Sandy Springs,50453,Georgia
Savannah,60129,Georgia
South Fulton,40298,Georgia
