City,Median Income,State,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Auburn,32859,Alabama,54785,5.5,23.7,45.6,166.1,763.0,2646.7,93.1,240.9,3502.8
Birmingham,91740,Alabama,213266,31.4,71.3,460.9,954.2,"2,205.7","4,239.8",488.6,"1,517.8","6,934.1"
Dothan,30920,Alabama,66275,7.5,45.3,150.9,277.6,"1,336.9","2,894.0",196.2,481.3,"4,427.0"
Hoover,38178,Alabama,82332,2.4,15.8,55.9,30.4,477.3,"2,067.2",103.2,104.5,"2,647.8"
Huntsville,99557,Alabama,183691,7.6,39.2,248.2,628.2,"1,178.6","3,476.5",386.5,923.3,"5,041.6"
Montgomery,82966,Alabama,209018,21.1,19.6,219.6,135.4,"1,631","3,611.2",526.7,395.7,"5,768.9"
Tuscaloosa,42870,Alabama,91973,4.3,40.2,184.8,290.3,"1,285.2","3,223.8",219.6,519.7,"4,728.6"
Avondale,32208,Arizona,78364,8.9,5.1,91.9,191.4,874.1,"3,511.8",312.6,297.3,"4,698.6"
Buckeye,32161,Arizona,52213,5.7,1.9,21.1,74.7,716.3,1769.7,141.7,103.4,2627.7
Chandler,105611,Arizona,242721,1.6,26.4,61.4,169.3,472.6,"2,129.2",105.5,258.7,"2,707.2"
Flagstaff,30080,Arizona,66633,0.0,42.0,67.5,283.6,363.2,"3,801.4",88.5,393.2,"4,253.1"
Gilbert,94016,Arizona,214264,2.3,8.9,27.5,56.9,338.8,"1,164.9",76.5,95.7,"1,580.3"
Glendale,89664,Arizona,232997,5.2,23.2,177.3,285.8,"1,221.9","4,662.3",525.3,491.4,"6,409.5"
Goodyear,38956,Arizona,67033,0.0,17.9,35.8,100.0,714.6,"1,772.3",159.6,153.7,"2,646.5"
Maricopa,23278,Arizona,44881,2.2,20.1,26.7,80.2,345.4,1412.6,122.5,129.2,1880.5
Peoria,74637,Arizona,158347,5.7,15.2,48.6,117.5,586.7,"2,196.4",168,186.9,"2,951.1"
Scottsdale,118561,Arizona,223432,1.3,18.8,51.5,75.6,561.7,"2,036.9",107.9,147.2,"2,706.4"
Surprise,59045,Arizona,120793,2.5,6.6,51.3,73.7,429.7,"1,532.4",97.7,134.1,"2,059.7"
Tempe,76512,Arizona,166061,6.6,26.5,152.4,343.2,752.7,"3,664.3",294.5,528.7,"4,711.5"
Yuma,41742,Arizona,95568,5.2,28.3,63.8,434.2,999.3,"2,262.3",246.9,531.6,"3,508.5"
